datetime,date,hour,aqi,aqi_label,co,no2,o3,pm2_5,pm10,so2,month,month_name,day_of_week,season
2025-04-26 05:00:00,2025-04-26,5,4.0,Poor,430.28,4.32,146.78,30.18,46.03,5.99,4,Apr,Saturday,Spring
2025-04-26 06:00:00,2025-04-26,6,4.0,Poor,414.34,3.91,169.21,35.0,52.87,6.03,4,Apr,Saturday,Spring
2025-04-26 07:00:00,2025-04-26,7,4.0,Poor,208.8,1.91,173.33,26.41,55.4,5.52,4,Apr,Saturday,Spring
2025-04-26 08:00:00,2025-04-26,8,4.0,Poor,165.91,1.27,163.31,23.92,58.57,4.08,4,Apr,Saturday,Spring
2025-04-26 09:00:00,2025-04-26,9,4.0,Poor,157.12,1.15,159.79,22.77,57.85,3.51,4,Apr,Saturday,Spring
2025-04-26 10:00:00,2025-04-26,10,4.0,Poor,156.35,1.16,158.55,22.07,56.77,3.15,4,Apr,Saturday,Spring
2025-04-26 11:00:00,2025-04-26,11,4.0,Poor,158.5,1.24,157.19,21.59,55.59,2.95,4,Apr,Saturday,Spring
2025-04-26 12:00:00,2025-04-26,12,4.0,Poor,162.94,1.39,156.1,21.28,54.45,2.89,4,Apr,Saturday,Spring
2025-04-26 13:00:00,2025-04-26,13,4.0,Poor,196.35,3.2,143.63,21.73,53.66,3.07,4,Apr,Saturday,Spring
2025-04-26 14:00:00,2025-04-26,14,3.0,Moderate,253.58,5.44,125.4,23.12,54.12,3.53,4,Apr,Saturday,Spring
2025-04-26 15:00:00,2025-04-26,15,3.0,Moderate,305.08,6.78,111.88,24.82,55.14,4.17,4,Apr,Saturday,Spring
2025-04-26 16:00:00,2025-04-26,16,3.0,Moderate,343.28,7.72,101.54,25.97,54.74,4.86,4,Apr,Saturday,Spring
2025-04-26 17:00:00,2025-04-26,17,3.0,Moderate,379.33,8.7,95.44,27.04,53.99,5.59,4,Apr,Saturday,Spring
2025-04-26 18:00:00,2025-04-26,18,3.0,Moderate,401.88,9.22,92.9,27.39,51.89,6.04,4,Apr,Saturday,Spring
2025-04-26 19:00:00,2025-04-26,19,3.0,Moderate,381.0,7.66,97.87,26.29,47.3,5.8,4,Apr,Saturday,Spring
2025-04-26 20:00:00,2025-04-26,20,3.0,Moderate,377.29,6.64,95.3,26.37,44.57,5.3,4,Apr,Saturday,Spring
